Original Sequence;Original Length;Transformed Sequence;Transformed Length
U F F Lb Fb Fb Db F R D Rb B R D Rb D Bb R B R Bb Ub Bb U Rb Db Fb Fb Rb F R F R F D R B R Bb Db Rb Rb Lb B B Lb Lb B B L R Db Lb D L Bb L B Lb Rb Fb Rb Fb B F R Bb F R D R F D Fb Db Rb D Lb Db Db L D Lb D L Db Db Rb D L Db R D Lb Db D D Bb D D B D Bb Bb D F Db B D B Fb Db Bb Lb F L B Lb Fb L;120;U F2 L' F2 D' F R D R' B R D R' D B' R B R B' U' B' U R' D' F2 R' F R F R F D R B R B' D' R2 L' B2 L2 B2 L R D' L' D L B' L B L' R' F' R' F' B F R B' F R D R F D F' D' R' D L' D2 L D L' D L D2 R' D L D' R D L' D' D2 B' D2 B D B2 D F D' B D B F' D' B' L' F L B L' F' L;108
Ub Db L L Fb Db Db F Ub R U Fb R Db Rb Bb Db B Lb R F F Rb L Bb Lb B Lb Db L D L Lb Bb Db B L D B Lb Db L Rb Fb Fb R F Db F R Rb Lb B B Lb Lb B B L R Lb Fb Lb Db Fb D L F L B D Bb Db Lb Db L Db R Db R D R D R Db Rb Db R R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;104;U' D' L2 F' D2 F U' R U F' R D' R' B' D' B L' R F2 R' L B' L' B L' D' L D L L' B' D' B L D B L' D' L R' F2 R F D' F R R' L' B2 L2 B2 L R L' F' L' D' F' D L F L B D B' D' L' D' L D' R D' R D R D R D' R' D' R2 D' F' R' D R F D F2 R F R' F;93
Fb R Db B B Db Lb Lb R Lb F L Rb R Bb D R Db Bb Rb Bb Bb Rb B U F Ub Rb Fb R R Bb F B D L Bb Lb Bb Rb Lb B B Lb Lb B B L R Fb Fb Db Db F F D D F F Db L D Lb Db Fb Db F Bb Db Lb D L B D Fb Rb Bb R B F Bb Rb B R;84;F' R D' B2 D' L2 R L' F L R' R B' D R D' B' R' B2 R' B U F U' R' F' R2 B' F B D L B' L' B' R' L' B2 L2 B2 L R F2 D2 F2 D2 F2 D' L D L' D' F' D' F B' D' L' D L B D F' R' B' R B F B' R' B R;72
Rb B Rb B Rb Bb L Db Lb Db F D Fb Rb L B R Lb Lb Lb D Lb Db L L Bb L B Rb Fb Fb R F Db F R B D L Bb Lb Bb Rb D R Fb R F Rb Lb B F Bb Bb Lb Fb L B L D Rb Bb Db B D R B R D Rb Db Bb D D D Bb D D B D Bb Bb D F Db B D B Fb Db Bb Lb F L B Lb Fb L;98;R' B R' B R' B' L D' L' D' F D F' R' L B R L D L' D' L2 B' L B R' F2 R F D' F R B D L B' L' B' R' D R F' R F R' L' B F B2 L' F' L B L D R' B' D' B D R B R D R' D' B' D' B' D2 B D B2 D F D' B D B F' D' B' L' F L B L' F' L;89
Fb R Fb Rb Fb Rb F D Bb Bb Lb Bb Lb B Db L D Fb L D Lb F D Fb Bb F Lb Lb B Fb D R B R Bb Db Rb R D Rb Db Bb Db B L F L Bb Lb B Fb Lb Rb B Db Bb Bb D B R B D Bb Db D Rb Db Bb D B R Lb U Lb Db Ub D Lb Lb U D L Db L D Lb Lb Ub Db D D Bb D D B D Bb Bb D F Db B D B Fb Db R B Fb Bb Rb B R F R R R Bb;118;F' R F' R' F' R' F D B2 L' B' L' B D' L D F' L D L' F D F' B' F L2 B F' D R B R B' D' R' R D R' D' B' D' B L F L B' L' B F' L' R' B D' B2 D B R B D B' D' D R' D' B' D B R L' U L' D' U' D L2 U D L D' L D L2 U' D' D2 B' D2 B D B2 D F D' B D B F' D' R B F' B' R' B R F R' B';108
U L L D Fb L Db Lb Fb Db F Db B Rb Bb Db Rb D R Lb R Fb Rb L F Bb L B Fb Db Db Bb D B Lb D L Bb Db D F R F Rb Db Fb Db Rb Db Db Bb Rb Db B B R B D R R Db R B R Fb Rb F Bb Rb D F R Fb Rb Db R D F Db Rb Fb D Db Bb L B Lb Db Lb D L Lb U Lb Db Ub D Lb Lb U D L Db L D Lb Lb Ub Db D D Bb D D B D Bb Bb D F Db B D B Fb Db;126;U L2 D F' L D' L' F' D' F D' B R' B' D' R' D R L' R F' R' L F B' L B F' D2 B' D B L' D L B' D' D F R F R' D' F' D' R' D2 B' R' D' B2 R B D R2 D' R B R F' R' F B' R' D F R F' R' D' R D F D' R' F' D D' B' L B L' D' L' D L L' U L' D' U' D L2 U D L D' L D L2 U' D' D2 B' D2 B D B2 D F D' B D B F' D';116
Lb Rb Fb Fb Db L Bb Lb F Lb F L Fb Fb L Db R D Lb Rb Lb D L D F Lb Fb Fb Lb Fb L U L Ub Rb Fb Fb R F Db F R R D B Rb Bb Rb Bb Db Rb B R B D Bb Rb B Db Bb D R B Db R F D Fb Db Rb D D Rb Db R D D D Rb D D R D D D Bb D D B D Bb Bb D F Db B D B Fb Db;100;L' R' F2 D' L B' L' F L' F L F2 L D' R D L' R' L' D L D F L' F2 L' F' L U L U' R' F2 R F D' F R2 D B R' B' R' B' D' R' B R B D B' R' B D' B' D R B D' R F D F' D' R' D2 R' D' R D' R' D2 R D' B' D2 B D B2 D F D' B D B F' D';87
Rb B D F B Db Db Bb Rb D R B U B Rb Bb Rb Ub Rb Fb Rb F U F Ub Fb Lb Fb L U L Ub D Lb D L D B Db Bb Rb Rb D D Rb Rb Db Db R R Db Rb Db R D F D Fb Db D Bb Db Lb D L B D Rb Db Bb D B R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;88;R' B D F B D2 B' R' D R B U B R' B' R' U' R' F' R' F U F U' F' L' F' L U L U' D L' D L D B D' B' R2 D2 R2 D2 R2 D' R' D' R D F D F' D' D B' D' L' D L B D R' D' B' D B R D' F' R' D R F D F2 R F R' F;79
L F Rb B R D B B Db L D Lb B Fb R R Bb F Db B R Db Rb Db Bb F R F Rb Ub R R R U R B R Bb Db Rb B L B Lb Db Bb B L Db Lb Bb L D Lb Bb L L D D D Lb D L L B D R F D Fb Db Rb Db Rb Bb Lb B R Bb L B F L B Lb Fb L Bb Lb Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;112;L F R' B R D B2 D' L D L' B F' R2 B' F D' B R D' R' D' B' F R F R' U' R' U R B R B' D' R' B L B L' D' B' B L D' L' B' L D L' B' L2 D' L' D L2 B D R F D F' D' R' D' R' B' L' B R B' L B F L B L' F' L B' L' D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';101
Bb F R R Bb D B R D Rb Bb F L Fb B Fb D L F Db Fb Lb Fb Fb Fb Rb Db R D B R Bb Db D R B R Bb Db Rb Lb Bb Lb B D L Db Db R D Rb Db Bb Db B Db Fb D F D L F Db Db Db L Db Lb Fb Lb D Rb Db Bb D B R Rb L L Db Lb Db Lb Lb D L D L D D R L D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;120;B' F R2 B' D B R D R' B' F L F' B F' D L F D' F' L' F R' D' R D B R B' D' D R B R B' D' R' L' B' L' B D L D2 R D R' D' B' D' B D' F' D F D L F D L D' L' F' L' D R' D' B' D B R R' L2 D' L' D' L2 D L D L D2 R L D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;108
