Original Sequence;Original Length;Transformed Sequence;Transformed Length
R F L Db Db Lb Bb Rb Bb Bb R B Rb D R F D Fb F Bb L B Fb Lb Bb Db B L D B Lb Db L Fb Lb Fb L D F R D B Rb Bb Rb B Lb Db L D L Bb Lb Rb Fb Rb Fb B F R Bb F R Bb Lb Db L D B B Rb Bb L B R Bb Lb R Db Fb Db F D D Rb Fb R Db Rb F Bb Lb F L B Lb Fb L;98;R F L D2 L' B' R' B2 R B R' D R F D F' F B' L B F' L' B' D' B L D B L' D' L F' L' F' L D F R D B R' B' R' B L' D' L D L B' L' R' F' R' F' B F R B' F R B' L' D' L D B2 R' B' L B R B' L' R D' F' D' F D2 R' F' R D' R' F B' L' F L B L' F' L;94
L B Rb Fb R F Ub L U Bb D Bb Db B Fb Fb R F Ub Fb U F U Rb Rb L B R Lb Bb Lb B D L D Lb Rb Fb Fb R F Db F R F D R Fb Rb Fb Db Lb D L Bb L B Lb Db Db F Db Fb R Fb Rb F B R D Rb Db Bb D R B Fb Bb Rb B R F R R R Bb;86;L B R' F' R F U' L U B' D B' D' B F2 R F U' F' U F U R2 L B R L' B' L' B D L D L' R' F2 R F D' F R F D R F' R' F' D' L' D L B' L B L' D2 F D' F' R F' R' F B R D R' D' B' D R B F' B' R' B R F R' B';80
L Lb F L L Db Lb Db B D Bb Fb Ub B U F Db R D Rb F Rb Db Fb Db F R B D L Bb Lb Bb F D R Fb Rb Fb Bb Rb B Db Bb D R B L L L Db Lb Db L L D L D L Lb Fb Db F D L F F D F Ub D U Fb Db Fb Db Fb D F F F D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;108;L L' F L2 D' L' D' B D B' F' U' B U F D' R D R' F R' D' F' D' F R B D L B' L' B' F D R F' R' F' B' R' B D' B' D R B L' D' L' D' L2 D L D L L' F' D' F D L F2 D F U' D U F' D' F' D' F' D F' D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;98
D L L Db B Rb Bb Bb D B Rb L B Lb R F L D Lb D Fb L D Lb D D D Bb Lb B Fb Db Lb F L F Db Db Fb Lb Db F D Fb L F D Lb D L Bb L B Lb R F D Fb Db Rb Db B Rb Bb L B R Bb Lb D B Db Fb D Bb Db F Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;92;D L2 D' B R' B2 D B R' L B L' R F L D L' D F' L D L' D' B' L' B F' D' L' F L F D2 F' L' D' F D F' L F D L' D L B' L B L' R F D F' D' R' D' B R' B' L B R B' L' D B D' F' D B' D' F D' F' R' D R F D F2 R F R' F;84
Bb L D F Rb D R B R Bb Bb F Lb Fb B R R L L Ub Ub Lb R R Lb Bb R R B R B R B Db Rb R Lb Fb Rb L Bb Db Rb B R B F D R Fb Rb Fb D L F D F Lb Fb Db Fb Lb B D Bb Db Lb Db L L B R Bb Lb B Rb Bb Rb Bb R Fb Rb B R F D Fb Db F B Db Db Fb Db F Db Db Bb Lb Fb Rb F L Fb R F;106;B' L D F R' D R B R B2 F L' F' B R2 L2 U2 L' R2 L' B' R2 B R B R B D' R' R L' F' R' L B' D' R' B R B F D R F' R' F' D L F D F L' F' D' F' L' B D B' D' L' D' L2 B R B' L' B R' B' R' B' R F' R' B R F D F' D' F B D2 F' D' F D2 B' L' F' R' F L F' R F;97
U Fb Ub F B Ub R U Fb F D Fb Bb Bb Lb Fb Db F Db L L B L Db B B Lb Bb D L Fb Db Lb F L F Db Db L F L Fb Db Lb Fb Rb D Fb Rb F R F Db Rb Db Rb Rb Db R R Db Db R Db Bb D B Db Rb Bb Db B D R D L Db Rb D Lb Db R;82;U F' U' F B U' R U F' F D F' B2 L' F' D' F D' L2 B L D' B2 L' B' D L F' D' L' F L F D2 L F L F' D' L' F' R' D F' R' F R F D' R' D' R2 D' R2 D2 R D' B' D B D' R' B' D' B D R D L D' R' D L' D' R;75
L F D Rb Rb L B Lb Rb L B Lb R Fb B Rb F Bb Lb R Fb L Rb Lb Bb Lb B U B Ub B D Bb Db Lb Db L D F R R Fb Rb D Rb Fb Db F D Fb Db Rb Db R Db Rb Db Rb Rb Db R R Db Db R Db Bb D B Lb Db Db L D Lb D L Db Db R Db Fb Db F D D Rb Fb R Db Rb F Bb Lb F L B Lb Fb L;100;L F D R2 L B L' R' L B L' R F' B R' F B' L' R F' L R' L' B' L' B U B U' B D B' D' L' D' L D F R2 F' R' D R' F' D' F D F' D' R' D' R D' R' D' R2 D' R2 D2 R D' B' D B L' D2 L D L' D L D2 R D' F' D' F D2 R' F' R D' R' F B' L' F L B L' F' L;92
U Lb F Lb F L D Bb D B Lb F Lb Fb Lb Lb Fb Db F R Fb Rb Fb D F Lb B D Bb L D Lb B U F Ub Rb Fb R R Bb F Rb D R Fb R F Rb Lb D L D B Db Bb L Db Lb Db Fb D F Rb B R Bb Rb Rb Rb D Rb D Rb Bb Db B D R D Rb Bb L B R Lb Db Lb D L;90;U L' F L' F L D B' D B L' F L' F' L2 F' D' F R F' R' F' D F L' B D B' L D L' B U F U' R' F' R2 B' F R' D R F' R F R' L' D L D B D' B' L D' L' D' F' D F R' B R B' R D R' D R' B' D' B D R D R' B' L B R L' D' L' D L;86
Fb Db Lb Lb D Rb L B Lb R Fb D F Rb D R Fb Lb D L B D Bb L D Lb D D D Bb Lb B Fb Lb Fb L D F Lb Bb Lb B D L L F L Bb Lb B Fb Lb Db Rb Db Rb Rb Db R R Db Db R Db Bb D B D Fb Rb Db R D F B R D Rb Db Bb D D D Bb D D B D Bb Bb D F Db B D B Fb Db Bb Lb F L B Lb Fb L;106;F' D' L2 D R' L B L' R F' D F R' D R F' L' D L B D B' L D L' D' B' L' B F' L' F' L D F L' B' L' B D L2 F L B' L' B F' L' D' R' D' R2 D' R2 D2 R D' B' D B D F' R' D' R D F B R D R' D' B' D' B' D2 B D B2 D F D' B D B F' D' B' L' F L B L' F' L;95
L Rb B R Lb F L R Fb Fb Rb D Bb Db B B R D D Rb D Bb Lb Lb Db F D Lb F Db Fb Lb Rb Fb Fb R F Db F R Rb Bb Rb B R Db B R D Db F D Fb Db Rb Db R Lb Db L Fb Lb D L F D Rb Bb Db B D R R F L Fb Rb F Lb Fb Bb Lb F L B Lb Fb L;88;L R' B R L' F L R F2 R' D B' D' B2 R D2 R' D B' L2 D' F D L' F D' F' L' R' F2 R F D' F R R' B' R' B R D' B R D D' F D F' D' R' D' R L' D' L F' L' D L F D R' B' D' B D R2 F L F' R' F L' F' B' L' F L B L' F' L;82
B Lb F Db Db Rb D Lb Db L F Db Fb Lb Fb L D F D Fb Fb B R F Bb Bb Lb Lb B D Bb L B F Db Fb R Fb Rb F Rb B Db Bb Bb D B R B D Bb D D Rb Db Bb D B R L Db Rb D Lb Db R Db Db Db D D Bb D D B D Bb Bb D F Db B D B Fb Db R B Fb Bb Rb B R F R R R Bb;98;B L' F D2 R' D L' D' L F D' F' L' F' L D F D F2 B R F B2 L2 B D B' L B F D' F' R F' R' F R' B D' B2 D B R B D B' D2 R' D' B' D B R L D' R' D L' D' R D D2 B' D2 B D B2 D F D' B D B F' D' R B F' B' R' B R F R' B';85
Lb Rb Rb Bb R B Rb Bb F D R D Rb Db Fb Rb D Rb Fb Db F R D R F Rb R U Rb Ub Rb Ub Rb U R U L B L Db B B Lb Bb D L Rb Fb Fb R F Db F R B L B Lb Db Bb Bb Rb Bb L B Lb R B Lb F L Fb L D L L L Db R D Rb Db Rb B R Bb Fb R F Lb Fb Rb F Lb Lb Lb;96;L' R2 B' R B R' B' F D R D R' D' F' R' D R' F' D' F R D R F R' R U R' U' R' U' R' U R U L B L D' B2 L' B' D L R' F2 R F D' F R B L B L' D' B2 R' B' L B L' R B L' F L F' L D L' D' R D R' D' R' B R B' F' R F L' F' R' F L;88
Lb F D L L B B Db R Db Rb Rb L D Lb R Rb L Bb Bb Lb R L F L Fb D Lb L D F Lb Fb Lb Fb Fb D D Fb Fb D D F F Bb D B Rb B R Bb Bb L L D D D Lb D L L B D Rb Bb Lb B R Bb L B Rb Bb L B R Bb Lb B Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;104;L' F D L2 B2 D' R D' R2 L D L' R R' L B2 L' R L F L F' D L' L D F L' F' L' F2 D2 F2 D2 F2 B' D B R' B R B2 L2 D' L' D L2 B D R' B' L' B R B' L B R' B' L B R B' L' B D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;87
U Lb F D B D Lb Db L Fb U L Ub Bb L B Bb F Lb Lb B Fb B D Bb Db Rb Bb Rb Rb Rb D Fb Lb Fb L D F Bb Db B D R D Rb Db Lb D L Bb L B Lb Fb Lb Fb R F L Rb F Rb Bb Db B D R D U Rb Fb Rb F R R Ub R Fb Rb Rb Rb U R Ub R R F Rb Fb Db Rb D R Fb Fb Fb Rb Db R D R D Fb Db Rb D F Db Rb Bb L B R Lb Db Lb D L;118;U L' F D B D L' D' L F' U L U' B' L B B' F L2 B F' B D B' D' R' B' R D F' L' F' L D F B' D' B D R D R' D' L' D L B' L B L' F' L' F' R F L R' F R' B' D' B D R D U R' F' R' F R2 U' R F' R U R U' R2 F R' F' D' R' D R F R' D' R D R D F' D' R' D F D' R' B' L B R L' D' L' D L;109
Lb B R D Rb D Fb Fb L Db Lb Rb Bb Db B Db R Db B D B Lb Db L Db Bb D Fb B Rb Rb Bb F B D Bb Db Lb Db L F D R Fb Rb Fb L F L Bb Lb B Fb Lb Rb Db Rb D D D Rb D R D R D Rb Db R D D D Rb D D R D Rb Bb Lb B R Bb L B D Fb Db F B Db Db Fb Db F Db Db Bb;98;L' B R D R' D F2 L D' L' R' B' D' B D' R D' B D B L' D' L D' B' D F' B R2 B' F B D B' D' L' D' L F D R F' R' F' L F L B' L' B F' L' R' D' R' D' R' D R D R D R' D' R D' R' D2 R D R' B' L' B R B' L B D F' D' F B D2 F' D' F D2 B';89
U Bb Rb Rb Bb R F L Fb Rb Db R Db B D Bb Db B Rb Bb Db Rb D R D Fb Fb D Fb Db F F Lb F L L D F Lb Fb Lb Fb Db Lb F L F F Db Fb R Fb Rb F Fb Rb Db Fb R R F R D F Db Bb Db Lb D L B D B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb;92;U B' R2 B' R F L F' R' D' R D' B D B' D' B R' B' D' R' D R D F2 D F' D' F2 L' F L2 D F L' F' L' F' D' L' F L F2 D' F' R F' R' F F' R' D' F' R2 F R D F D' B' D' L' D L B D B R' L' R L2 R' L' B' L B' L B' R B R' L' R B L';85
Bb L Rb B R F Ub F U Fb B Rb Rb D Bb Rb Bb Db B Db R Fb B R R Bb F Lb D L Fb D F Lb Db Db Bb Bb D D Bb Bb D D Bb Bb D F R R Fb Rb D Rb Fb Rb Db Fb R R F R F Db Fb D Db Db F Db Fb R Fb Rb F D Rb Bb Db B D R B R D Rb Db Bb D D D Bb D D B D Bb Bb D F Db B D B Fb Db Bb Lb F L B Lb Fb L;114;B' L R' B R F U' F U F' B R2 D B' R' B' D' B D' R F' B R2 B' F L' D L F' D F L' D2 B2 D2 B2 D2 B2 D F R2 F' R' D R' F' R' D' F' R2 F R F D' F' D D2 F D' F' R F' R' F D R' B' D' B D R B R D R' D' B' D' B' D2 B D B2 D F D' B D B F' D' B' L' F L B L' F' L;99
B U U B Ub L B Lb U Bb Ub F U B L D Lb D F D Fb R D Rb Db Rb Rb L Bb Bb R B U Rb Ub Lb D R B R Bb Db Rb Rb Bb Rb B R Db B R D L Db Lb Db Fb D F Db Rb Db R D F D Fb Db Db F L B Lb Fb L Bb Lb Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;100;B U2 B U' L B L' U B' U' F U B L D L' D F D F' R D R' D' R2 L B2 R B U R' U' L' D R B R B' D' R2 B' R' B R D' B R D L D' L' D' F' D F D' R' D' R D F D F' D2 F L B L' F' L B' L' D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';92
B U Db L Bb R Fb Rb L B Lb B L B Lb Ub Lb U Ub R B R Bb Ub Bb Ub Ub R B R Bb Ub Bb U Lb Lb Lb F L Fb Ub Fb U Db Db Bb Bb D D Bb Bb D D Bb Bb R D B Rb Bb Rb R B R Fb Rb F Bb Rb D D F Lb Fb L Fb Db F Bb Bb Bb D Bb Db Bb L B Lb Lb D R Db L D Rb Db R B Fb Bb Rb B R F R R R Bb;108;B U D' L B' R F' R' L B L' B L B L' U' L' U U' R B R B' U' B' U2 R B R B' U' B' U L F L F' U' F' U D2 B2 D2 B2 D2 B2 R D B R' B' R' R B R F' R' F B' R' D2 F L' F' L F' D' F B D B' D' B' L B L2 D R D' L D R' D' R B F' B' R' B R F R' B';93
Fb R B Rb Bb Db B D Bb Fb Fb Fb R F Rb Ub Rb U Lb Db B Db Bb L D L Rb Bb Rb B R B R B Rb Bb L F L Fb Db Lb R D B Rb Bb Rb Lb D Bb Db Bb L B Lb D B L Db D F R Fb Rb Db R D F Db Rb Fb D Rb Bb Db B D R Rb Bb Db B D R Db Fb Db F D F Lb Fb L Bb Lb F L B Lb Fb L;102;F' R B R' B' D' B D B' F R F R' U' R' U L' D' B D' B' L D L R' B' R' B R B R B R' B' L F L F' D' L' R D B R' B' R' L' D B' D' B' L B L' D B L D' D F R F' R' D' R D F D' R' F' D R' B' D' B D R R' B' D' B D R D' F' D' F D F L' F' L B' L' F L B L' F' L;100
B R R F F Rb Bb L L B Fb Rb F Fb B Rb F Bb B Lb Db L Bb Db B Lb Fb Lb F L F L F Lb Fb Fb D F D L Db Lb Lb D L D B Db Bb Db Db Rb Fb Db F R Fb D F Db Rb Db Rb Rb Db R R Db Db R Db Bb D B D Bb Lb Db L D B R Db Fb Db F D D Rb Fb R Db Rb F Bb Lb F L B Lb Fb L;102;B R2 F2 R' B' L2 B F' R' F F' B R' F B' B L' D' L B' D' B L' F' L' F L F L F L' F2 D F D L D' L2 D L D B D' B' D2 R' F' D' F R F' D F D' R' D' R2 D' R2 D2 R D' B' D B D B' L' D' L D B R D' F' D' F D2 R' F' R D' R' F B' L' F L B L' F' L;92
L Db B B Rb Db B D Bb R Db Rb Bb Db B Fb Rb F Rb Db R D R D F Rb Db Fb Db F R L D Lb D D D Bb Lb B D R B R Bb Db Rb D Fb D F D L Db Lb B Rb Bb R Bb Db B Rb B Db Bb Bb D B R B D Bb D D L Db Rb D Lb Db R;82;L D' B2 R' D' B D B' R D' R' B' D' B F' R' F R' D' R D R D F R' D' F' D' F R L D L' D' B' L' B D R B R B' D' R' D F' D F D L D' L' B R' B' R B' D' B R' B D' B2 D B R B D B' D2 L D' R' D L' D' R;77
Lb Rb Fb Bb D D B Bb L L B R Fb Fb Rb Rb L Bb R Lb Lb Ub F Lb Ub L U Fb L F F Db Fb Db Lb F L Fb Db Lb F L F Bb Lb D Bb Lb B L B Lb F L Fb L D L L L D R F D Fb Db Rb D Bb Bb Bb D Bb Db Bb L B Lb Fb Db Rb D R Fb Fb Fb Rb Db R D R D Fb Db Rb D F Db Rb Bb L B R Lb Db Lb D L;108;L' R' F' B' D2 B B' L2 B R F2 R2 L B' R L2 U' F L' U' L U F' L F2 D' F' D' L' F L F' D' L' F L F B' L' D B' L' B L B L' F L F' L D L' D R F D F' D' R' D B D B' D' B' L B L' F' D' R' D R F R' D' R D R D F' D' R' D F D' R' B' L B R L' D' L' D L;96
Ub B B Lb F L Lb Db L Db F Bb Lb B Fb Fb Rb F Bb Rb B R B Lb B B B D B D L Bb F R F Rb Ub R R R U Bb Db Rb B R B Rb Lb B B Lb Lb B B L R L Db Lb Db Fb D F D F R Fb Rb Db R D F Db Rb Fb D Db R F L Fb Rb F Lb Fb Bb Lb F L B Lb Fb L;94;U' B2 L' F L L' D' L D' F B' L' B F2 R' F B' R' B R B L' B' D B D L B' F R F R' U' R' U B' D' R' B R B R' L' B2 L2 B2 L R L D' L' D' F' D F D F R F' R' D' R D F D' R' F' D D' R F L F' R' F L' F' B' L' F L B L' F' L;85
U L L Fb D Fb Bb L B Bb Rb Bb Bb R B Bb F L Fb B L Rb Rb L Ub Ub Lb R R Lb Lb Lb Db F D Lb F Db Fb Lb Fb Lb Fb L D F D B L B Lb Db Bb D Rb D R Fb R F Rb Rb B Db Bb Bb D B R B D Bb Bb Lb Db L D B D Rb Db Bb D B R D Fb Db F B Db Db Fb Db F Db Db Bb Lb Fb Rb F L Fb R F;106;U L2 F' D F' B' L B B' R' B2 R B B' F L F' B L R2 L U2 L' R2 L D' F D L' F D' F' L' F' L' F' L D F D B L B L' D' B' D R' D R F' R F R2 B D' B2 D B R B D B2 L' D' L D B D R' D' B' D B R D F' D' F B D2 F' D' F D2 B' L' F' R' F L F' R F;94
Bb Lb F Db F Lb Fb Fb L L Rb Bb Bb R Lb F Bb Lb Lb B Fb F R D Rb Fb Db Fb Rb F R F R U R F F Rb Fb Ub Fb R Fb Lb Fb L D F Db Rb Bb Db Rb B D B R B R R R Bb Db B R D B R Bb Db L D Lb Db Fb Db F D D Rb Db Bb D B R D Fb Db F B Db Db Fb Db F Db Db Bb Lb Fb Rb F L Fb R F;106;B' L' F D' F L' F2 L2 R' B2 R L' F B' L2 B F' F R D R' F' D' F' R' F R F R U R F2 R' F' U' F' R F' L' F' L D F D' R' B' D' R' B D B R B R' B' D' B R D B R B' D' L D L' D' F' D' F D2 R' D' B' D B R D F' D' F B D2 F' D' F D2 B' L' F' R' F L F' R F;96
B U D L L Bb R Bb D Rb F Lb Fb Rb Bb R Ub R U Fb Rb Bb Db B Db R Ub Lb Bb Lb B U B B D L Bb Lb Bb Db Lb Db Bb L B L Db Lb D L Bb L B Lb F Db Fb Db Rb D R Db D D Rb Db R D D D Rb D D R D Lb U Lb Db Ub D Lb Lb U D L Db L D Lb Lb Ub Db D D Bb D D B D Bb Bb D F Db B D B Fb Db R B Fb Bb Rb B R F R R R Bb;122;B U D L2 B' R B' D R' F L' F' R' B' R U' R U F' R' B' D' B D' R U' L' B' L' B U B2 D L B' L' B' D' L' D' B' L B L D' L' D L B' L B L' F D' F' D' R' D R D' D2 R' D' R D' R' D2 R D L' U L' D' U' D L2 U D L D' L D L2 U' D' D2 B' D2 B D B2 D F D' B D B F' D' R B F' B' R' B R F R' B';109
Fb L F B R Bb Rb L B Lb R Lb F Lb Fb Lb Lb F Db Fb Rb Db R Lb D L D D F L L Fb Bb Db Rb B R B D F R R Fb Rb D Rb Fb Bb Lb D Bb Lb B L B Db Rb Db Rb Rb Db R R Db Db R Db Bb D B R D Rb Db Rb B R Bb D Rb Db Bb D B R Rb D L Db R D Lb Db Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;118;F' L F B R B' R' L B L' R L' F L' F' L2 F D' F' R' D' R L' D L D2 F L2 F' B' D' R' B R B D F R2 F' R' D R' F' B' L' D B' L' B L B D' R' D' R2 D' R2 D2 R D' B' D B R D R' D' R' B R B' D R' D' B' D B R R' D L D' R D L' D2 F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;107
Rb D Rb Db F D Fb Bb R D R R R B D Bb Fb D F D D R Fb Fb Rb D B Fb R F Bb Bb Db Rb B R B Lb Bb Lb B D L Fb D F Lb F L Fb D F R Fb Rb Db R D F Db Rb Fb D Rb Bb Db B D R D U Rb Fb Rb F R R Ub R Fb Rb Rb Rb U R Ub R R F Rb Fb Db Rb D R Fb Fb Fb Rb Db R D R D Fb Db Rb D F Db Rb Bb L B R Lb Db Lb D L;120;R' D R' D' F D F' B' R D R' B D B' F' D F D2 R F2 R' D B F' R F B2 D' R' B R B L' B' L' B D L F' D F L' F L F' D F R F' R' D' R D F D' R' F' D R' B' D' B D R D U R' F' R' F R2 U' R F' R U R U' R2 F R' F' D' R' D R F R' D' R D R D F' D' R' D F D' R' B' L B R L' D' L' D L;109
L B Rb Bb B Db Bb Lb D F D Fb Db Fb L R B R Bb Ub Bb U F Bb L B Fb Rb U Rb F R Ub R U Rb Ub Rb Fb Fb R F Db F R D R Db Rb Fb R Db Db Db Fb Rb Fb Fb D D Lb Db Bb L B L Fb Lb Fb R F L Rb F Rb Bb Db B D R B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb;100;L B R' B' B D' B' L' D F D F' D' F' L R B R B' U' B' U F B' L B F' R' U R' F R U' R U R' U' R' F2 R F D' F R D R D' R' F' R D F' R' F2 D2 L' D' B' L B L F' L' F' R F L R' F R' B' D' B D R B R' L' R L2 R' L' B' L B' L B' R B R' L' R B L';94
B U U L B Fb Ub B U F Bb D B Lb R F F Rb L Db Bb Db Bb Bb D Bb Bb Db Bb L B L Db B B Lb Bb D L B D L Bb Lb Bb L F L Bb Lb B Fb Lb L D L D Lb Lb Db Lb Db Lb Rb Bb Db B D R D Lb Fb Db F D L Db B R Fb Rb B B B R F Rb Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;102;B U2 L B F' U' B U F B' D B L' R F2 R' L D' B' D' B2 D B2 D' B' L B L D' B2 L' B' D L B D L B' L' B' L F L B' L' B F' L' L D L D L2 D' L' D' L' R' B' D' B D R D L' F' D' F D L D' B R F' R' B' R F R' D' F' R' D R F D F2 R F R' F;91
Lb Ub L R D Fb Fb Fb Lb F F L F F Db Db Fb B Db Db Bb B U F Ub Rb Fb R R Bb F Fb Lb Fb L D F R B R Bb Db Rb D B L B D B B Db Bb Lb Bb Lb Bb L B Db Bb Lb B Lb Lb Lb D F L D Lb Db Fb D Rb Bb R Fb Rb B R F Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;104;L' U' L R D F L' F2 L F2 D2 F' B D2 B' B U F U' R' F' R2 B' F F' L' F' L D F R B R B' D' R' D B L B D B2 D' B' L' B' L' B' L B D' B' L' B L D F L D L' D' F' D R' B' R F' R' B R F D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';91
Ub Bb Lb F L D Lb D L Db R Fb Fb Rb L B Db Db Bb D Lb Db Bb Db Bb Bb D Bb Bb Db Bb Bb F Lb U L Ub Lb Fb Lb B B Rb Bb R Bb Db B Db L Db Lb Db L Db F L Fb Lb Db Db Lb D L D B Db Bb D F R Fb Rb Db R D F Db Rb Fb D D Rb Db R D D D Rb D D R D D Fb Db F B Db Db Fb Db F Db Db Bb Fb Rb F Lb Fb R F Rb L Rb Rb Rb;118;U' B' L' F L D L' D L D' R F2 R' L B D2 B' D L' D' B' D' B2 D B2 D' B2 F L' U L U' L' F' L' B2 R' B' R B' D' B D' L D' L' D' L D' F L F' L' D2 L' D L D B D' B' D F R F' R' D' R D F D' R' F' D2 R' D' R D' R' D2 R D2 F' D' F B D2 F' D' F D2 B' F' R' F L' F' R F R' L R;102
Lb Fb Fb Rb B U Bb R Fb D F F Bb Lb B Fb R B R Bb D Rb Bb Db B D B Lb Db L L D F Lb Fb Lb B Db Bb Db Lb D L D Bb Rb B Db Bb D R B Rb D R Fb R F Rb Lb Fb Db F D L Db R B Fb Bb Rb B R F R R R Bb;78;L' F2 R' B U B' R F' D F2 B' L' B F' R B R B' D R' B' D' B D B L' D' L2 D F L' F' L' B D' B' D' L' D L D B' R' B D' B' D R B R' D R F' R F R' L' F' D' F D L D' R B F' B' R' B R F R' B';73
Ub Bb L B D D Bb Bb Fb Ub F F D Fb R U Rb Ub Rb Ub Rb U R U Lb Bb Lb B U B Ub Fb Lb Fb L D F B D L Bb Lb Bb Lb Fb Lb Db Fb D L F L Lb B F Bb Bb Lb Fb L B L Bb Db Lb D L B Bb Bb Bb D Bb Db Bb L B Lb R F L Fb Rb F Lb Fb;86;U' B' L B D2 B2 F' U' F2 D F' R U R' U' R' U' R' U R U L' B' L' B U B U' F' L' F' L D F B D L B' L' B' L' F' L' D' F' D L F L L' B F B2 L' F' L B L B' D' L' D L B B D B' D' B' L B L' R F L F' R' F L' F';80
L B Lb Lb D Fb Fb Rb D R B D Bb Lb R F Rb L Rb Db R D B R Bb Db Fb Lb Fb L D F Db R D B Rb Bb Rb Lb Fb Lb Db Fb D L F L Lb B F Bb Bb Lb Fb L B L D Rb Bb Lb B R Bb L B Fb D B Db F D Bb Db Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;90;L B L2 D F2 R' D R B D B' L' R F R' L R' D' R D B R B' D' F' L' F' L D F D' R D B R' B' R' L' F' L' D' F' D L F L L' B F B2 L' F' L B L D R' B' L' B R B' L B F' D B D' F D B' D2 F' R' D R F D F2 R F R' F;83
R B L Ub Fb U D Bb Db B Db L D Lb Rb L B Lb R Lb R Fb L Rb Rb D R Bb Rb B R B Db Rb Fb Lb Fb L D F B D L Bb Lb Bb Bb D B Rb B R Bb Db Db F Db Fb R Fb Rb F Rb Bb Db B D R Lb Fb Db F D L Db B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;120;R B L U' F' U D B' D' B D' L D L' R' L B L' R L' R F' L R2 D R B' R' B R B D' R' F' L' F' L D F B D L B' L' B2 D B R' B R B' D2 F D' F' R F' R' F R' B' D' B D R L' F' D' F D L D' B R' L' R L2 R' L' B' L B' L B' R B R' L' R B L' D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;113
U Db L Bb Fb D Rb F Bb L B D Bb Db B Db L D Lb F R Ub Fb Rb Ub F Ub Ub Ub Fb Fb D Fb Db F F Lb F L Rb Fb Fb R F Db F R Rb Bb Rb B R Db B R D Lb F L U L Ub Fb B D Bb Db Lb Db L R F D Fb Db Rb Db D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;104;U D' L B' F' D R' F B' L B D B' D' B D' L D L' F R U' F' R' U' F U F2 D F' D' F2 L' F L R' F2 R F D' F R R' B' R' B R D' B R D L' F L U L U' F' B D B' D' L' D' L R F D F' D' R' D' D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;96
Db L L Ub Lb U D D Bb Bb D Fb Db F Lb Bb Lb B Db L Db Fb Db F D F Rb Db R B B Ub B Ub Lb U L U B Rb Lb B B Lb Lb B B L R Bb Db Rb B R B Rb Bb Db Rb B R B D R D Bb Db Lb D L B Bb Bb Bb D Bb Db Bb L B Lb Rb Rb Db Rb Db R D R D R Db R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;118;D' L2 U' L' U D2 B2 D F' D' F L' B' L' B D' L D' F' D' F D F R' D' R B2 U' B U' L' U L U B R' L' B2 L2 B2 L R B' D' R' B R B R' B' D' R' B R B D R D B' D' L' D L B B D B' D' B' L B L' R2 D' R' D' R D R D R D' R D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;105
U Bb R Bb D Rb Db L D Lb B D Bb Db R D Rb Fb B Rb Bb F Rb Rb Db B D Rb Rb B Db Bb L D F Lb Fb Lb Db Db R D Rb Db Bb Db B D R Fb Rb F Rb Db R Db D Rb Db Bb D B R Lb U Lb Db Ub D Lb Lb U D L Db L D Lb Lb Ub Db D D Bb D D B D Bb Bb D F Db B D B Fb Db;98;U B' R B' D R' D' L D L' B D B' D' R D R' F' B R' B' F R2 D' B D R2 B D' B' L D F L' F' L' D2 R D R' D' B' D' B D R F' R' F R' D' R D' D R' D' B' D B R L' U L' D' U' D L2 U D L D' L D L2 U' D' D2 B' D2 B D B2 D F D' B D B F' D';90
