Date;Start Run Timestamp;Parameter Set;Run Number;Run Duration (hh:mm:ss);Total Correct Pieces;Last Improvement Iteration;Sequence Length;Total Move Sequence;Improvement Count;Learned Sequence Reuse Count
2025-03-21;18:28:37;P3;125;00:07:03;14;0;70;Ub Fb R Rb D R Ub F U Lb Lb Fb Lb F L F L F Lb Fb Fb Bb Fb Ub F U F B F Db Bb D Fb Db B D Lb B B Lb Bb Db Lb Db Db L B D L L Rb L Bb Rb B B B Lb R R L R Bb R B R B R Lb R;0;10
2025-03-21;18:35:41;P3;126;00:06:39;14;3.000.000;83;L Fb Bb Db B D Bb Db Lb Db L Db B Lb Bb D L U Fb Ub Lb F Db L Ub Lb D L U Lb L Bb L B Lb Db Rb U R D D Rb Ub R Db Db Bb Db Bb Db B D B D B B D Fb Db Bb D F Db Bb Bb Fb Bb Rb Fb Rb Fb R F R F R B B B B B B B;1;12
2025-03-21;18:42:21;P3;127;00:00:00;15;0;71;Lb B R Bb Rb Bb R B Db Bb F D D Fb Lb Db Fb D L R F R Ub Rb U Rb Fb Fb Ub B U F Ub Bb U Db Bb D F Db B D Fb L L Db Db Db Db Ub Lb Ub Lb D Ub Db U U U L U L U D F Db Bb D Fb Db B;0;11
2025-03-21;18:42:21;P3;128;00:07:01;14;0;67;L R Fb D R R F B L L Bb F U R Ub Fb Ub F Ub Fb U Bb L Fb Lb B L B F Bb Lb Fb R Db R F Rb Fb Rb D F Fb U F Ub Fb Ub Fb U U U F U Fb Fb Rb Ub Db U Rb Db Rb D R D R D;0;10
2025-03-21;18:49:22;P1;129;00:06:18;14;20.610.000;88;L R Ub R U Rb B Lb B L Bb Db B Lb Bb D Fb U B Ub F U Bb Ub B U Bb Ub Fb Ub F L Fb U F Ub Lb U Fb Ub F U F U F Ub Fb Ub B R B Rb Rb B B B Rb Lb R L R R R Bb Rb Bb Bb R F R F R R L L R Lb Lb Fb Rb Fb Rb Rb Lb R L F R;2;10
2025-03-21;18:55:40;P3;130;00:07:02;14;0;109;D L L D F F Db B D Bb L Rb L Rb Ub R R L L B R U Bb Ub Rb F U Fb Db F Ub Fb D B Rb Bb Ub Rb Ub B U R U Rb B U Bb Ub R B R B R B Rb Bb Rb Bb Rb U U Bb Fb Bb Bb Bb Fb Bb Fb Fb U B U B U Bb Ub Bb U Ub B U B U B Ub Bb Ub Bb U U R U R U Rb Rb D Ub Db Rb D Ub D U D D Ub Rb;0;12
2025-03-21;19:02:43;P3;131;00:07:01;14;0;115;U R Bb F L Fb Ub Ub Rb Ub Ub Ub F L F U F Lb Ub Fb Lb Ub R R F Rb Fb Rb U Db Db Bb Bb D D Bb Bb D D Bb Bb Lb F L D Fb Lb Fb Db Fb L D L Fb Fb Db F Db Db Db L F Lb Db F F F Db Lb Db Db Fb Fb Db R D R Db Rb D Lb R R R R L Db Db Rb Db R Db Db Db Db R D R Db Rb Db Rb Db R Db Bb Ub Bb Ub B U B U B Ub;0;13
2025-03-21;19:09:44;P3;132;00:00:00;15;0;86;Ub Fb D B Lb R Fb Fb Rb Lb D L Db Db F D D B Rb B R B B Db Db L D D D Bb Db Bb Lb D B L D D B U B D Ub Db Db Ub D Bb Ub Bb Ub B B Db Db U Fb Lb Fb Lb F L F L F Lb Db L R R Lb R R L D R Db R R Lb R R Db Db Db Rb;0;13
2025-03-21;19:09:44;P3;133;00:05:55;14;14.640.000;118;Lb Ub L B B Db L D Lb Ub Ub Rb Ub Ub F L L Fb Lb Ub Fb Ub L F U L F Ub Fb Rb Db Rb Fb D F R D R Rb Ub Rb Fb R U R F U Fb Fb R F F F F F R F R R Fb Rb Fb Rb Fb Rb Fb Rb F F R B B R R R F F R Fb Fb B B Fb R Bb Fb Bb F B Fb L B Lb F L Bb Lb B Rb Lb R L Db Rb Db Rb D D R D R D Rb Lb R R L R;2;10
2025-03-21;19:15:40;P3;134;00:06:34;13;3.600.000;77;U Rb Bb Fb R F D Lb Db L Bb Db Db B R B R Bb Ub Bb U R F Rb B R Fb Rb Bb Db Bb D B Rb B R Bb L B L Bb Lb Bb Lb Bb L B R F Rb Fb Rb Fb Rb F R F U Db Fb Db Fb D F Db Ub Ub Db U D D D U F D Fb Ub;1;11
